Name;Beinkette;Gelenkgruppen
P3PRRRR6G2P8;S5PRRRR6;1-2-2-3-3
P3PRRRR6G2P9;S5PRRRR6;1-2-2-3-3
P3PRRRR6G3P1;S5PRRRR6;1-2-2-3-3
P3PRRRR6G3P2;S5PRRRR6;1-2-2-3-3
P3PRRRR6G3P3;S5PRRRR6;1-2-2-1-1
P3PRRRR6G3P8;S5PRRRR6;1-2-2-3-3
P3PRRRR6G3P9;S5PRRRR6;1-2-2-3-3
P3PRRRR6G4P1;S5PRRRR6;1-2-2-1-1
P3PRRRR6G4P2;S5PRRRR6;1-2-2-3-3
P3PRRRR6G4P3;S5PRRRR6;1-2-2-3-3
P3PRRRR6G4P9;S5PRRRR6;1-2-2-3-3
P3PRRRR6G9P1;S5PRRRR6;1-2-2-3-3
P3PRRRR6G9P2;S5PRRRR6;1-2-2-3-3
P3PRRRR6G9P3;S5PRRRR6;1-2-2-3-3
P3PRRRR6G9P8;S5PRRRR6;1-2-2-3-3
P3PRRRR6V1G1P1;S5PRRRR6V1;1-2-2-1-1
P3PRRRR6V1G1P2;S5PRRRR6V1;1-2-2-3-3
P3PRRRR6V1G1P3;S5PRRRR6V1;1-2-2-3-3
P3PRRRR6V1G1P9;S5PRRRR6V1;1-2-2-3-3
P3PRRRR6V1G2P1;S5PRRRR6V1;1-2-2-3-3
P3PRRRR6V1G2P2;S5PRRRR6V1;1-2-2-1-1
P3PRRRR6V1G2P3;S5PRRRR6V1;1-2-2-3-3
P3PRRRR6V1G2P8;S5PRRRR6V1;1-2-2-3-3
P3PRRRR6V1G2P9;S5PRRRR6V1;1-2-2-3-3
P3PRRRR6V1G3P1;S5PRRRR6V1;1-2-2-3-3
P3PRRRR6V1G3P2;S5PRRRR6V1;1-2-2-3-3
P3PRRRR6V1G3P3;S5PRRRR6V1;1-2-2-1-1
P3PRRRR6V1G3P8;S5PRRRR6V1;1-2-2-3-3
P3PRRRR6V1G3P9;S5PRRRR6V1;1-2-2-3-3
P3PRRRR6V1G4P1;S5PRRRR6V1;1-2-2-1-1
P3PRRRR6V1G4P2;S5PRRRR6V1;1-2-2-3-3
P3PRRRR6V1G4P3;S5PRRRR6V1;1-2-2-3-3
P3PRRRR6V1G4P9;S5PRRRR6V1;1-2-2-3-3
P3PRRRR6V1G9P1;S5PRRRR6V1;1-2-2-3-3
P3PRRRR6V1G9P2;S5PRRRR6V1;1-2-2-3-3
P3PRRRR6V1G9P3;S5PRRRR6V1;1-2-2-3-3
P3PRRRR6V1G9P8;S5PRRRR6V1;1-2-2-3-3
P3PRRRR7G1P1;S5PRRRR7;1-2-1-1-1
P3PRRRR7G1P9;S5PRRRR7;1-2-3-3-3
P3PRRRR7G2P2;S5PRRRR7;1-2-1-1-1
P3PRRRR7G3P3;S5PRRRR7;1-2-1-1-1
P3PRRRR7G3P8;S5PRRRR7;1-2-3-3-3
P3PRRRR7G3P9;S5PRRRR7;1-2-3-3-3
P3PRRRR7G4P1;S5PRRRR7;1-2-1-1-1
P3PRRRR7G4P3;S5PRRRR7;1-2-3-3-3
P3PRRRR7G4P9;S5PRRRR7;1-2-3-3-3
P3PRRRR7V1G1P1;S5PRRRR7V1;1-2-1-1-1
P3PRRRR7V1G1P9;S5PRRRR7V1;1-2-3-3-3
P3PRRRR7V1G2P2;S5PRRRR7V1;1-2-1-1-1
P3PRRRR7V1G3P3;S5PRRRR7V1;1-2-1-1-1
P3PRRRR7V1G3P9;S5PRRRR7V1;1-2-3-3-3
P3PRRRR7V1G4P1;S5PRRRR7V1;1-2-1-1-1
P3PRRRR7V1G4P3;S5PRRRR7V1;1-2-3-3-3
P3PRRRR7V1G4P9;S5PRRRR7V1;1-2-3-3-3
P3PRRRR8G1P1;S5PRRRR8;1-1-2-2-1
P3PRRRR8G1P2;S5PRRRR8;1-2-3-3-2
P3PRRRR8G1P3;S5PRRRR8;1-2-3-3-2
P3PRRRR8G1P9;S5PRRRR8;1-2-3-3-2
P3PRRRR8G2P1;S5PRRRR8;1-2-3-3-2
P3PRRRR8G2P2;S5PRRRR8;1-1-2-2-1
P3PRRRR8G2P3;S5PRRRR8;1-2-3-3-2
P3PRRRR8G3P1;S5PRRRR8;1-2-3-3-2
P3PRRRR8G3P2;S5PRRRR8;1-2-3-3-2
P3PRRRR8G3P3;S5PRRRR8;1-1-2-2-1
P3PRRRR8G4P2;S5PRRRR8;1-2-3-3-2
P3PRRRR8G4P9;S5PRRRR8;1-2-3-3-2
P3PRRRR8G9P1;S5PRRRR8;1-2-3-3-2
P3PRRRR8G9P8;S5PRRRR8;1-2-3-3-2
P3PRRRR8V1G1P1;S5PRRRR8V1;1-1-2-2-1
P3PRRRR8V1G1P2;S5PRRRR8V1;1-2-3-3-2
P3PRRRR8V1G1P3;S5PRRRR8V1;1-2-3-3-2
P3PRRRR8V1G1P9;S5PRRRR8V1;1-2-3-3-2
P3PRRRR8V1G2P1;S5PRRRR8V1;1-2-3-3-2
P3PRRRR8V1G2P2;S5PRRRR8V1;1-1-2-2-1
P3PRRRR8V1G2P3;S5PRRRR8V1;1-2-3-3-2
P3PRRRR8V1G3P1;S5PRRRR8V1;1-2-3-3-2
P3PRRRR8V1G3P2;S5PRRRR8V1;1-2-3-3-2
P3PRRRR8V1G3P3;S5PRRRR8V1;1-1-2-2-1
P3PRRRR8V1G4P2;S5PRRRR8V1;1-2-3-3-2
P3PRRRR8V1G4P9;S5PRRRR8V1;1-2-3-3-2
P3PRRRR8V1G9P1;S5PRRRR8V1;1-2-3-3-2
P3PRRRR8V1G9P8;S5PRRRR8V1;1-2-3-3-2
P3PRRRR8V2G1P1;S5PRRRR8V2;1-1-2-2-1
P3PRRRR8V2G1P2;S5PRRRR8V2;1-2-3-3-2
P3PRRRR8V2G1P3;S5PRRRR8V2;1-2-3-3-2
P3PRRRR8V2G1P9;S5PRRRR8V2;1-2-3-3-2
P3PRRRR8V2G2P1;S5PRRRR8V2;1-2-3-3-2
P3PRRRR8V2G2P2;S5PRRRR8V2;1-1-2-2-1
P3PRRRR8V2G2P3;S5PRRRR8V2;1-2-3-3-2
P3PRRRR8V2G3P1;S5PRRRR8V2;1-2-3-3-2
P3PRRRR8V2G3P2;S5PRRRR8V2;1-2-3-3-2
P3PRRRR8V2G3P3;S5PRRRR8V2;1-1-2-2-1
P3PRRRR8V2G4P2;S5PRRRR8V2;1-2-3-3-2
P3PRRRR8V2G4P9;S5PRRRR8V2;1-2-3-3-2
P3PRRRR8V2G9P1;S5PRRRR8V2;1-2-3-3-2
P3PRRRR8V2G9P8;S5PRRRR8V2;1-2-3-3-2
P3PRRRR9G1P1;S5PRRRR9;1-1-2-1-1
P3PRRRR9G1P9;S5PRRRR9;1-2-3-2-2
P3PRRRR9G2P2;S5PRRRR9;1-1-2-1-1
P3PRRRR9G3P3;S5PRRRR9;1-1-2-1-1
P3RPRR1G1P1;S4RPRR1;1-1-1-1
P3RPRR1G2P2;S4RPRR1;1-1-1-1
P3RPRR1G3P3;S4RPRR1;1-1-1-1
P3RPRRR12G1P1;S5RPRRR12;1-2-3-3-1
P3RPRRR12G2P2;S5RPRRR12;1-2-3-3-1
P3RPRRR12G3P3;S5RPRRR12;1-2-3-3-1
P3RPRRR12V1G1P1;S5RPRRR12V1;1-2-3-3-1
P3RPRRR12V1G2P2;S5RPRRR12V1;1-2-3-3-1
P3RPRRR12V1G3P3;S5RPRRR12V1;1-2-3-3-1
P3RPRRR14G1P1;S5RPRRR14;?
P3RPRRR14G2P2;S5RPRRR14;?
P3RPRRR14G3P3;S5RPRRR14;?
P3RPRRR2G1P2;S5RPRRR2;1-2-2-2-2
P3RPRRR2G1P3;S5RPRRR2;1-2-2-2-2
P3RPRRR2G1P8;S5RPRRR2;1-2-2-2-2
P3RPRRR2G2P1;S5RPRRR2;1-2-2-2-2
P3RPRRR2G2P3;S5RPRRR2;1-2-2-2-2
P3RPRRR2G2P9;S5RPRRR2;1-2-2-2-2
P3RPRRR2G3P1;S5RPRRR2;1-2-2-2-2
P3RPRRR2G3P2;S5RPRRR2;1-2-2-2-2
P3RPRRR2G4P2;S5RPRRR2;1-2-2-2-2
P3RPRRR2G9P1;S5RPRRR2;1-2-2-2-2
P3RPRRR2G9P8;S5RPRRR2;1-2-2-2-2
P3RPRRR6G1P1;S5RPRRR6;1-1-2-2-1
P3RPRRR6G2P2;S5RPRRR6;1-1-2-2-1
P3RPRRR6G3P3;S5RPRRR6;1-1-2-2-1
P3RPRRR6V1G1P1;S5RPRRR6V1;1-1-2-2-1
P3RPRRR6V1G2P2;S5RPRRR6V1;1-1-2-2-1
P3RPRRR6V1G3P3;S5RPRRR6V1;1-1-2-2-1
P3RPRRR7G1P1;S5RPRRR7;1-1-2-1-1
P3RPRRR7G2P2;S5RPRRR7;1-1-2-1-1
P3RPRRR7G3P3;S5RPRRR7;1-1-2-1-1
P3RPRRR7V1G1P1;S5RPRRR7V1;?
P3RPRRR7V1G2P2;S5RPRRR7V1;?
P3RPRRR7V1G3P3;S5RPRRR7V1;?
P3RPRRR8G1P2;S5RPRRR8;1-2-1-3-3
P3RPRRR8G1P3;S5RPRRR8;1-2-1-3-3
P3RPRRR8G2P1;S5RPRRR8;1-2-1-3-3
P3RPRRR8G2P3;S5RPRRR8;1-2-1-3-3
P3RPRRR8G2P9;S5RPRRR8;1-2-1-3-3
P3RPRRR8G3P1;S5RPRRR8;1-2-1-3-3
P3RPRRR8G3P2;S5RPRRR8;1-2-1-3-3
P3RPRRR8G4P2;S5RPRRR8;1-2-1-3-3
P3RPRRR8V1G1P2;S5RPRRR8V1;1-2-1-3-3
P3RPRRR8V1G1P3;S5RPRRR8V1;1-2-1-3-3
P3RPRRR8V1G1P8;S5RPRRR8V1;1-2-1-3-3
P3RPRRR8V1G2P3;S5RPRRR8V1;1-2-1-3-3
P3RPRRR8V1G2P9;S5RPRRR8V1;1-2-1-3-3
P3RPRRR8V1G3P2;S5RPRRR8V1;1-2-1-3-3
P3RPRRR8V1G9P1;S5RPRRR8V1;1-2-1-3-3
P3RPRRR8V1G9P8;S5RPRRR8V1;1-2-1-3-3
P3RPRRR9G1P1;S5RPRRR9;1-2-2-2-1
P3RPRRR9G2P2;S5RPRRR9;1-2-2-2-1
P3RPRRR9G3P3;S5RPRRR9;1-2-2-2-1
P3RPRRR9V1G1P1;S5RPRRR9V1;1-2-2-2-1
P3RPRRR9V1G2P2;S5RPRRR9V1;1-2-2-2-1
P3RPRRR9V1G3P3;S5RPRRR9V1;1-2-2-2-1
P3RRPR1G1P1;S4RRPR1;1-1-1-1
P3RRPR1G2P2;S4RRPR1;1-1-1-1
P3RRPR1G3P3;S4RRPR1;1-1-1-1
P3RRPRR10G1P1;S5RRPRR10;1-1-1-2-1
P3RRPRR10G2P2;S5RRPRR10;1-1-1-2-1
P3RRPRR10G3P3;S5RRPRR10;1-1-1-2-1
P3RRPRR10V1G1P1;S5RRPRR10V1;?
P3RRPRR10V1G2P2;S5RRPRR10V1;?
P3RRPRR10V1G3P3;S5RRPRR10V1;?
P3RRPRR12G1P1;S5RRPRR12;1-2-3-2-1
P3RRPRR12G2P2;S5RRPRR12;1-2-3-2-1
P3RRPRR12G3P3;S5RRPRR12;1-2-3-2-1
P3RRPRR12V1G1P1;S5RRPRR12V1;1-2-3-2-1
P3RRPRR12V1G2P2;S5RRPRR12V1;1-2-3-2-1
P3RRPRR12V1G3P3;S5RRPRR12V1;1-2-3-2-1
P3RRPRR12V2G1P1;S5RRPRR12V2;1-2-3-2-1
P3RRPRR12V2G2P2;S5RRPRR12V2;1-2-3-2-1
P3RRPRR12V2G3P3;S5RRPRR12V2;1-2-3-2-1
P3RRPRR13G1P1;S5RRPRR13;1-2-1-1-1
P3RRPRR13G2P2;S5RRPRR13;1-2-1-1-1
P3RRPRR13G3P3;S5RRPRR13;1-2-1-1-1
P3RRPRR13V1G1P1;S5RRPRR13V1;?
P3RRPRR13V1G2P2;S5RRPRR13V1;?
P3RRPRR13V1G3P3;S5RRPRR13V1;?
P3RRPRR1G2P2;S5RRPRR1;?
P3RRPRR1V1G2P2;S5RRPRR1V1;?
P3RRPRR2G1P2;S5RRPRR2;?
P3RRPRR2G1P3;S5RRPRR2;?
P3RRPRR2G1P8;S5RRPRR2;?
P3RRPRR2G2P1;S5RRPRR2;?
P3RRPRR2G2P3;S5RRPRR2;?
P3RRPRR2G3P1;S5RRPRR2;?
P3RRPRR2G3P2;S5RRPRR2;?
P3RRPRR2G4P2;S5RRPRR2;?
P3RRPRR2G9P1;S5RRPRR2;?
P3RRPRR2G9P8;S5RRPRR2;?
P3RRPRR2V1G1P2;S5RRPRR2V1;?
P3RRPRR2V1G1P3;S5RRPRR2V1;?
P3RRPRR2V1G1P8;S5RRPRR2V1;?
P3RRPRR2V1G2P3;S5RRPRR2V1;?
P3RRPRR2V1G3P2;S5RRPRR2V1;?
P3RRPRR2V1G9P8;S5RRPRR2V1;?
P3RRPRR4G1P2;S5RRPRR4;1-1-1-2-2
P3RRPRR4G1P3;S5RRPRR4;1-1-1-2-2
P3RRPRR4G1P8;S5RRPRR4;1-1-1-2-2
P3RRPRR4G2P1;S5RRPRR4;1-1-1-2-2
P3RRPRR4G2P3;S5RRPRR4;1-1-1-2-2
P3RRPRR4G2P9;S5RRPRR4;1-1-1-2-2
P3RRPRR4G3P1;S5RRPRR4;1-1-1-2-2
P3RRPRR4G3P2;S5RRPRR4;1-1-1-2-2
P3RRPRR4G4P2;S5RRPRR4;1-1-1-2-2
P3RRPRR4G9P1;S5RRPRR4;1-1-1-2-2
P3RRPRR4G9P8;S5RRPRR4;1-1-1-2-2
P3RRPRR5G1P2;S5RRPRR5;1-1-2-2-2
P3RRPRR5G1P3;S5RRPRR5;1-1-2-2-2
P3RRPRR5G1P8;S5RRPRR5;1-1-2-2-2
P3RRPRR5G2P1;S5RRPRR5;1-1-2-2-2
P3RRPRR5G2P3;S5RRPRR5;1-1-2-2-2
P3RRPRR5G2P9;S5RRPRR5;1-1-2-2-2
P3RRPRR5G3P1;S5RRPRR5;1-1-2-2-2
P3RRPRR5G3P2;S5RRPRR5;1-1-2-2-2
P3RRPRR5G4P2;S5RRPRR5;1-1-2-2-2
P3RRPRR5G9P1;S5RRPRR5;1-1-2-2-2
P3RRPRR5G9P8;S5RRPRR5;1-1-2-2-2
P3RRPRR6G1P2;S5RRPRR6;1-1-2-3-3
P3RRPRR6G1P3;S5RRPRR6;1-1-2-3-3
P3RRPRR6G1P8;S5RRPRR6;1-1-2-3-3
P3RRPRR6G1P9;S5RRPRR6;1-1-2-3-3
P3RRPRR6G2P1;S5RRPRR6;1-1-2-3-3
P3RRPRR6G2P3;S5RRPRR6;1-1-2-3-3
P3RRPRR6G2P9;S5RRPRR6;1-1-2-3-3
P3RRPRR6G3P1;S5RRPRR6;1-1-2-3-3
P3RRPRR6G3P2;S5RRPRR6;1-1-2-3-3
P3RRPRR6G4P2;S5RRPRR6;1-1-2-3-3
P3RRPRR6G4P9;S5RRPRR6;1-1-2-3-3
P3RRPRR6G9P1;S5RRPRR6;1-1-2-3-3
P3RRPRR6G9P8;S5RRPRR6;1-1-2-3-3
P3RRPRR7G1P2;S5RRPRR7;1-1-2-3-3
P3RRPRR7G1P3;S5RRPRR7;1-1-2-3-3
P3RRPRR7G2P3;S5RRPRR7;1-1-2-3-3
P3RRPRR7G2P9;S5RRPRR7;1-1-2-3-3
P3RRPRR7G3P2;S5RRPRR7;1-1-2-3-3
P3RRPRR8G1P1;S5RRPRR8;?
P3RRPRR8G2P2;S5RRPRR8;?
P3RRPRR8G3P3;S5RRPRR8;?
P3RRPRR8V1G2P2;S5RRPRR8V1;?
P3RRPRR8V2G1P1;S5RRPRR8V2;?
P3RRPRR8V2G2P2;S5RRPRR8V2;?
P3RRPRR8V2G3P3;S5RRPRR8V2;?
P3RRRP1G1P1;S4RRRP1;1-1-1-1
P3RRRP1G2P2;S4RRRP1;1-1-1-1
P3RRRP1G3P3;S4RRRP1;1-1-1-1
P3RRRPR12G1P1;S5RRRPR12;1-1-2-1-1
P3RRRPR12G2P2;S5RRRPR12;1-1-2-1-1
P3RRRPR12G3P3;S5RRRPR12;1-1-2-1-1
P3RRRPR12V1G1P1;S5RRRPR12V1;?
P3RRRPR12V1G2P2;S5RRRPR12V1;?
P3RRRPR12V1G3P3;S5RRRPR12V1;?
P3RRRPR1G1P2;S5RRRPR1;?
P3RRRPR1G1P3;S5RRRPR1;?
P3RRRPR1G1P8;S5RRRPR1;?
P3RRRPR1G2P1;S5RRRPR1;?
P3RRRPR1G2P3;S5RRRPR1;?
P3RRRPR1G3P1;S5RRRPR1;?
P3RRRPR1G3P2;S5RRRPR1;?
P3RRRPR1G4P2;S5RRRPR1;?
P3RRRPR1G9P1;S5RRRPR1;?
P3RRRPR1G9P8;S5RRRPR1;?
P3RRRPR1V1G1P2;S5RRRPR1V1;?
P3RRRPR1V1G1P3;S5RRRPR1V1;?
P3RRRPR1V1G1P8;S5RRRPR1V1;?
P3RRRPR1V1G2P3;S5RRRPR1V1;?
P3RRRPR1V1G3P2;S5RRRPR1V1;?
P3RRRPR1V1G9P8;S5RRRPR1V1;?
P3RRRPR2G1P2;S5RRRPR2;1-1-1-1-2
P3RRRPR2G1P3;S5RRRPR2;1-1-1-1-2
P3RRRPR2G1P8;S5RRRPR2;1-1-1-1-2
P3RRRPR2G2P1;S5RRRPR2;1-1-1-1-2
P3RRRPR2G2P3;S5RRRPR2;1-1-1-1-2
P3RRRPR2G2P9;S5RRRPR2;1-1-1-1-2
P3RRRPR2G3P1;S5RRRPR2;1-1-1-1-2
P3RRRPR2G3P2;S5RRRPR2;1-1-1-1-2
P3RRRPR2G4P2;S5RRRPR2;1-1-1-1-2
P3RRRPR2G9P1;S5RRRPR2;1-1-1-1-2
P3RRRPR2G9P8;S5RRRPR2;1-1-1-1-2
P3RRRPR4G1P2;S5RRRPR4;1-1-2-3-2
P3RRRPR4G1P3;S5RRRPR4;1-1-2-3-2
P3RRRPR4G2P3;S5RRRPR4;1-1-2-3-2
P3RRRPR4G2P9;S5RRRPR4;1-1-2-3-2
P3RRRPR4V1G1P2;S5RRRPR4V1;1-1-2-3-2
P3RRRPR4V1G1P3;S5RRRPR4V1;1-1-2-3-2
P3RRRPR4V1G1P8;S5RRRPR4V1;1-1-2-3-2
P3RRRPR4V1G2P3;S5RRRPR4V1;1-1-2-3-2
P3RRRPR4V1G2P9;S5RRRPR4V1;1-1-2-3-2
P3RRRPR4V1G3P2;S5RRRPR4V1;1-1-2-3-2
P3RRRPR4V1G9P1;S5RRRPR4V1;1-1-2-3-2
P3RRRPR4V1G9P8;S5RRRPR4V1;1-1-2-3-2
P3RRRPR5G1P1;S5RRRPR5;1-2-2-2-1
P3RRRPR5G2P2;S5RRRPR5;1-2-2-2-1
P3RRRPR5G3P3;S5RRRPR5;1-2-2-2-1
P3RRRPR5V1G1P1;S5RRRPR5V1;1-2-2-2-1
P3RRRPR5V1G2P2;S5RRRPR5V1;1-2-2-2-1
P3RRRPR5V1G3P3;S5RRRPR5V1;1-2-2-2-1
P3RRRPR7G1P1;S5RRRPR7;1-2-2-1-1
P3RRRPR7G2P2;S5RRRPR7;1-2-2-1-1
P3RRRPR7G3P3;S5RRRPR7;1-2-2-1-1
P3RRRPR7V1G1P1;S5RRRPR7V1;1-2-2-1-1
P3RRRPR7V1G2P2;S5RRRPR7V1;1-2-2-1-1
P3RRRPR7V1G3P3;S5RRRPR7V1;1-2-2-1-1
P3RRRPR8G1P1;S5RRRPR8;1-2-2-3-1
P3RRRPR8G2P2;S5RRRPR8;1-2-2-3-1
P3RRRPR8G3P3;S5RRRPR8;1-2-2-3-1
P3RRRPR8V1G1P1;S5RRRPR8V1;1-2-2-3-1
P3RRRPR8V1G2P2;S5RRRPR8V1;1-2-2-3-1
P3RRRPR8V1G3P3;S5RRRPR8V1;1-2-2-3-1
P3RRRPR9G1P1;S5RRRPR9;?
P3RRRPR9G2P2;S5RRRPR9;?
P3RRRPR9G3P3;S5RRRPR9;?
P3RRRRR10G1P1;S5RRRRR10;1-1-2-2-1
P3RRRRR10G2P2;S5RRRRR10;1-1-2-2-1
P3RRRRR10G3P3;S5RRRRR10;1-1-2-2-1
P3RRRRR10V1G1P1;S5RRRRR10V1;1-1-2-2-1
P3RRRRR10V1G2P2;S5RRRRR10V1;1-1-2-2-1
P3RRRRR10V1G3P3;S5RRRRR10V1;1-1-2-2-1
P3RRRRR10V2G1P1;S5RRRRR10V2;1-1-2-2-1
P3RRRRR10V2G2P2;S5RRRRR10V2;1-1-2-2-1
P3RRRRR10V2G3P3;S5RRRRR10V2;1-1-2-2-1
P3RRRRR1G1P1;S5RRRRR1;1-2-2-2-1
P3RRRRR1G2P2;S5RRRRR1;1-2-2-2-1
P3RRRRR1G3P3;S5RRRRR1;1-2-2-2-1
P3RRRRR1V1G1P1;S5RRRRR1V1;1-2-2-2-1
P3RRRRR1V1G2P2;S5RRRRR1V1;1-2-2-2-1
P3RRRRR1V1G3P3;S5RRRRR1V1;1-2-2-2-1
P3RRRRR2G1P1;S5RRRRR2;1-1-2-2-1
P3RRRRR2G2P2;S5RRRRR2;1-1-2-2-1
P3RRRRR2G3P3;S5RRRRR2;1-1-2-2-1
P3RRRRR3G1P1;S5RRRRR3;1-2-2-1-1
P3RRRRR3G2P2;S5RRRRR3;1-2-2-1-1
P3RRRRR3G3P3;S5RRRRR3;1-2-2-1-1
P3RRRRR5G1P2;S5RRRRR5;1-1-1-2-2
P3RRRRR5G1P3;S5RRRRR5;1-1-1-2-2
P3RRRRR5G1P8;S5RRRRR5;1-1-1-2-2
P3RRRRR5G2P1;S5RRRRR5;1-1-1-2-2
P3RRRRR5G2P3;S5RRRRR5;1-1-1-2-2
P3RRRRR5G2P9;S5RRRRR5;1-1-1-2-2
P3RRRRR5G3P1;S5RRRRR5;1-1-1-2-2
P3RRRRR5G3P2;S5RRRRR5;1-1-1-2-2
